Player Name,Team,Status,Position,Age,WAR,Base_Value,Contract_Value,Surplus_Value,IDfg,BB%_bat,K%_bat,AVG,OBP,SLG,wOBA,wRC+,EV,Off,BsR,Def,WAR_batter,ERA,FIP,SIERA,K%_pit,BB%_pit,WAR_pitcher
Tristan Beck,sf,FA,RP,39.0,0.3,3552586.28,,,21584.0,,,,,,,,,,,,,4.318305,4.4943285,4.1553125,0.17295232,0.08629551,0.3
Austin Warren,sf,FA,RP,39.0,0.3,3552586.28,,,24937.0,,,,,,,,,,,,,4.322691,4.49151,4.1538267,0.17051539,0.08605301,0.3
Mason Black,sf,FA,SP,35.0,0.3,3552586.28,,,30171.0,,,,,,,,,,,,,4.465164,4.795091,4.896354,0.19223535,0.07898064,0.3
Robbie Ray,sf,FA,SP,43.0,-0.0,0.0,,,11486.0,,,,,,,,,,,,,4.805369,4.9624376,5.1036716,0.14141864,0.06960095,-0.0
Logan Webb,sf,FA,SP,38.0,-0.2,0.0,,,17995.0,,,,,,,,,,,,,4.8520665,5.048543,5.1792254,0.14293148,0.07228298,-0.2
Heliot Ramos,sf,FA,OF,35.0,-0.32488467101802,0.0,,,22515.0,0.058730677,0.23304811,0.2365731,0.2910887,0.37393552,0.29159015,83.38535,89.14539,-8.91723810754171,-4.5380192378070205,-8.629830554244855,-0.32488467101802,,,,,,
Willy Adames,sf,FA,SS,39.0,-2.51581082637035,0.0,,,15986.0,0.059655473,0.3485259,0.1631393,0.22647268,0.25256145,0.2255594,32.775944,87.21781,-42.73786904462954,-6.572712800698355,5.754417623281479,-2.51581082637035,,,,,,
LaMonte Wade Jr.,sf,FA,1B,41.0,-3.251867784712751,0.0,,,18126.0,0.082439706,0.32841453,0.17281482,0.25157604,0.27402672,0.24754307,47.003925,87.05021,-31.47794142583521,-4.787853942907532,-14.503727045059204,-3.251867784712751,,,,,,
Matt Chapman,sf,FA,3B,42.0,-3.456936572701476,0.0,,,16505.0,0.06263069,0.36196133,0.15276295,0.21845184,0.23610447,0.21791145,26.195318,86.89455,-46.65510992306034,-6.516165212960914,0.3920785999298095,-3.456936572701476,,,,,,
Wilmer Flores,sf,FA,1B,43.0,-3.563742485180941,0.0,,,5827.0,0.08156879,0.33622658,0.16733865,0.24540871,0.26337537,0.24170707,42.50253,86.79816,-34.467109636562625,-4.6722616904298775,-14.686523151397704,-3.563742485180941,,,,,,
David Villar,sf,FA,1B,38.0,-4.299466941541228,0.0,,,24782.0,0.05256347,0.32889622,0.17499718,0.23134209,0.26570657,0.23052911,37.75752,87.436554,-40.19240471502629,-6.716331745265052,-14.127257690429689,-4.299466941541228,,,,,,
Mike Yastrzemski,sf,FA,OF,44.0,-4.342013822983977,0.0,,,14854.0,0.07324314,0.3548319,0.15610172,0.22866149,0.24165447,0.22615314,31.43831,86.61469,-42.43375996845525,-5.435729941818863,-13.583463678585847,-4.342013822983977,,,,,,
Tom Murphy,sf,FA,C,44.0,-8.76395581979876,0.0,,,13499.0,0.069247864,0.36441937,0.15066342,0.2193972,0.2282689,0.21670729,25.029207,86.33244,-47.27187625373282,-5.461134495635633,-52.05497440827638,-8.76395581979876,,,,,,
Michael McGreevy,stl,FA,SP,34.0,5.2,68091237.11,,,29869.0,,,,,,,,,,,,,2.625607,3.0299807,3.240754,0.30475092,0.05685874,5.2
Roddery Munoz,stl,FA,SP,35.0,2.1,25016128.42,,,25311.0,,,,,,,,,,,,,3.7162223,4.024178,4.1604924,0.24376068,0.07003594,2.1
Lars Nootbaar,stl,FA,OF,37.0,2.036807605054656,24174266.78,,,21454.0,0.09634471,0.17451285,0.2770694,0.35473204,0.46458945,0.3530362,127.7129,92.00275,22.555124288652003,-4.404342781053856,-17.091285101679503,2.036807605054656,,,,,,
Iván Herrera,stl,FA,C,35.0,1.911927171342089,22640954.15,,,20599.0,0.06098654,0.18844447,0.26003948,0.31269625,0.4125198,0.31450707,100.10536,89.758064,2.820692957901375,-3.8684045209083706,0.8833797185424803,1.911927171342089,,,,,,
Ryan Fernandez,stl,FA,RP,37.0,0.5,5920977.14,,,24862.0,,,,,,,,,,,,,4.150815,4.29731,4.0790873,0.20895745,0.10296943,0.5
