IDfg,Name,Team,contract_value,war_market_value,surplus_value
17022,Edmundo Sosa,phi,"$3,380,000",9.91,6.53
17929,Cedric Mullins,bal,"$8,420,000",14.93,6.51
18882,Brandon Lowe,tb,"$10,500,000",16.96,6.46
16358,Tyler Mahle,tex,"$11,000,000",17.42,6.42
23359,Nelson Velazquez,kc,"$800,000",7.17,6.37
12970,Joe Musgrove,sd,"$20,000,000",26.35,6.35
20220,Jo Adell,laa,"$1,520,000",7.78,6.26
22051,John King,stl,"$1,450,000",7.65,6.2
19392,Zach McKinstry,det,"$1,650,000",7.84,6.19
20070,Bailey Falter,pit,"$2,330,000",8.5,6.17
17919,Ian Happ,chc,"$20,333,333",26.46,6.13
17998,Pete Fairbanks,tb,"$3,666,667",9.78,6.11
22896,Lenyn Sosa,chw,"$800,000",6.91,6.11
15905,Luis Torrens,nym,"$1,700,000",7.79,6.09
21461,Cole Sands,min,"$800,000",6.8,6.0
25679,Kevin Kelly,tb,"$800,000",6.8,6.0
22717,Angel Zerpa,kc,"$800,000",6.8,6.0
29530,Fraser Ellard,chw,"$800,000",6.8,6.0
24737,Gus Varland,chw,"$800,000",6.8,6.0
23443,Tom Cosgrove,sd,"$800,000",6.8,6.0
30133,Brant Hurter,det,"$800,000",6.8,6.0
26252,Erik Miller,sf,"$800,000",6.8,6.0
22932,Prelander Berroa,chw,"$800,000",6.8,6.0
25386,Jhony Brito,sd,"$800,000",6.8,6.0
18439,Danny Young,nym,"$800,000",6.8,6.0
22294,Matthew Liberatore,stl,"$800,000",6.8,6.0
25481,Joe La Sorsa,wsh,"$800,000",6.8,6.0
17034,Sean Reid-Foley,nym,"$800,000",6.8,6.0
26413,Porter Hodge,chc,"$800,000",6.8,6.0
17952,Tyler Jay,mil,"$800,000",6.8,6.0
16300,Jesus Tinoco,mia,"$800,000",6.8,6.0
26389,DJ Herz,wsh,"$800,000",6.8,6.0
26259,Hunter Bigge,tb,"$800,000",6.8,6.0
24094,Ronny Henriquez,min,"$800,000",6.8,6.0
25890,Bryan King,hou,"$800,000",6.8,6.0
23307,Collin Snider,sea,"$800,000",6.8,6.0
22304,Brenan Hanifee,det,"$800,000",6.8,6.0
30171,Mason Black,sf,"$800,000",6.8,6.0
29833,Nick Nastrini,chw,"$800,000",6.8,6.0
19769,Will Vest,det,"$1,670,000",7.65,5.98
20321,Stuart Fairchild,cin,"$800,000",6.77,5.97
19600,Bryan De La Cruz,atl,"$860,000",6.47,5.61
22275,Jake Burger,tex,"$800,000",6.37,5.57
18353,Daz Cameron,bal,"$800,000",6.31,5.51
