Player Name,Team,Status,WAR,Base_Value,Contract_Value,Surplus_Value
Derek Hill,mia,ARB3,-3.157829575962053,0.0,4630500.0,-4630500.0
Kyle Stowers,mia,ARB2,-3.811856449686106,0.0,2894062.5,-2894062.5
Abner Uribe,mil,ARB1,1.5,10418625.0,2604656.25,7813968.75
J.B. Bukauskas,mil,ARB3,0.9,6251175.0,4630500.0,1620675.0
Elvis Peguero,mil,ARB3,0.8,5556600.0,4630500.0,926100.0
Aaron Ashby,mil,Club,0.8,5556600.0,9000000.0,-3443400.0
Tyler Jay,mil,ARB1,0.5,3472875.0,1157625.0,2315250.0
Christian Yelich,mil,,0.4464261967016822,3100764.76,22000000.0,-18899235.24
Bryan Hudson,mil,ARB2,0.4,2778300.0,2894062.5,-115762.5
Garrett Mitchell,mil,ARB3,0.2632222459122014,1828275.91,4630500.0,-2802224.09
Jared Koenig,mil,ARB2,0.2,1389150.0,2894062.5,-1504912.5
Robert Gasser,mil,ARB1,0.2,1389150.0,1157625.0,231525.0
Tobias Myers,mil,ARB1,0.1,694575.0,1157625.0,-463050.0
Zebby Matthews,min,ARB1,3.2,26393850.0,6598462.5,19795387.5
Royce Lewis,min,ARB 4,2.959514660811584,23888323.43,11944161.72,11944161.72
Carlos Correa,min,,2.9340558487496247,23623077.62,31333337.0,-7710259.38
David Festa,min,ARB2,1.2,8334900.0,2894062.5,5440837.5
Jose Miranda,min,ARB3,1.0430239506147871,7244583.6,4630500.0,2614083.6
Ronny Henriquez,min,ARB1,0.6,4167450.0,1157625.0,3009825.0
Cole Sands,min,ARB3,0.5,3472875.0,4630500.0,-1157625.0
Kody Funderburk,min,ARB2,0.4,2778300.0,2894062.5,-115762.5
Byron Buxton,min,,-0.4575933220696876,0.0,15142858.0,-15142858.0
Matt Wallner,min,ARB2,-0.555669602324631,0.0,2894062.5,-2894062.5
Juan Soto,nym,,7.274411943326008,80215243.51,51875000.0,28340243.51
Francisco Alvarez,nym,ARB3,3.739465558959315,32014339.36,16007169.68,16007169.68
Christian Scott,nym,ARB1,3.6,30561300.0,7640325.0,22920975.0
Brett Baty,nym,ARB2,1.7692126484890591,12288508.75,4055207.89,8233300.86
Francisco Lindor,nym,"$34,100,000",1.7615508064854772,12235291.51,33800000.0,-21564708.49
Dedniel Nunez,nym,ARB2,1.6,11113200.0,3667356.0,7445844.0
Mark Vientos,nym,ARB2,0.6301577435437826,4376918.15,2894062.5,1482855.65
Edwin Diaz,nym,Club,0.2,1389150.0,17250000.0,-15860850.0
Reed Garrett,nym,ARB3,0.2,1389150.0,4630500.0,-3241350.0
Danny Young,nym,ARB1,0.2,1389150.0,1157625.0,231525.0
Huascar Brazoban,nym,ARB3,0.1,694575.0,4630500.0,-3935925.0
Kevin Herget,nym,ARB1,0.1,694575.0,1157625.0,-463050.0
Brandon Nimmo,nym,"$20,500,000",-0.2681378914591972,0.0,20250000.0,-20250000.0
Jose Azocar,nym,ARB3,-1.1046390733225455,0.0,4630500.0,-4630500.0
Luis Gil,nyy,ARB3,3.6,30561300.0,15280650.0,15280650.0
Carlos Rodon,nyy,"$27,833,334",3.1,25351987.5,27000000.0,-1648012.5
