mlbam_id,fg_id,name,source
605280,13649,Clay Holmes,mlb_api
516935,6415,Stolmy Pimentel,mlb_api
592444,14818,JaCoby Jones,mlb_api
618085,sa653546,Jin-De Jhang,mlb_api
641522,sa737782,Cody Dickson,mlb_api
595978,12976,Austin Hedges,mlb_api
605538,12804,Matt Wisler,mlb_api
608331,13743,Max Fried,mlb_api
592669,15464,Hunter Renfroe,mlb_api
543391,9174,Casey Kelly,mlb_api
542642,4779,Rymer Liriano,mlb_api
607054,12325,Jace Peterson,mlb_api
572143,12784,Burch Smith,mlb_api
605452,12972,Joe Ross,mlb_api
543921,6109,Joe Wieland,mlb_api
621107,13774,Zach Eflin,mlb_api
614173,14567,Franchy Cordero,mlb_api
534910,13287,Jesse Hahn,mlb_api
572102,10039,Keyvius Sampson,mlb_api
640460,15189,Dustin Peterson,mlb_api
571681,10329,Rey Fuentes,mlb_api
608671,13768,Travis Jankowski,mlb_api
543105,12649,Alex Dickerson,mlb_api
605486,12294,Cory Spangenberg,mlb_api
593775,sa548052,Gabriel Quintana,mlb_api
605195,13182,Kyle Crick,mlb_api
546276,10337,Edwin Escobar,mlb_api
606167,13188,Adalberto Mejía,mlb_api
572180,13132,Andrew Susac,mlb_api
624414,16434,Christian Arroyo,mlb_api
621389,14361,Ty Blach,mlb_api
608717,13761,Chris Stratton,mlb_api
607185,sa598302,Clayton Blackburn,mlb_api
607776,14158,Mac Williamson,mlb_api
571882,13133,Derek Law,mlb_api
592390,11632,Heath Hembree,mlb_api
593340,sa547815,Joan Gregorio,mlb_api
622094,sa657962,Martin Agosta,mlb_api
605412,11936,Joe Panik,mlb_api
624507,15982,Ryder Jones,mlb_api
518502,11464,Gary Brown,mlb_api
592464,11618,Mike Kickham,mlb_api
592612,11528,Josh Osich,mlb_api
622492,15964,Keury Mella,mlb_api
572309,12118,Kendry Flores,mlb_api
592836,11836,Taijuan Walker,mlb_api
592637,sa549926,D.J. Peterson,mlb_api
572020,11828,James Paxton,mlb_api
621242,14710,Edwin Díaz,mlb_api
627894,15166,Luiz Gohara,mlb_api
609216,sa610024,Victor Sanchez,mlb_api
621035,13757,Chris Taylor,mlb_api
596028,sa597836,Tyler Marlette,mlb_api
621377,sa657974,Tyler Pike,mlb_api
602115,14528,Gabriel Guerrero,mlb_api
605476,13172,Carson Smith,mlb_api
608678,13763,Dominic Leone,mlb_api
592868,sa549103,Austin Wilson,mlb_api
543343,12874,Danny Hultzen,mlb_api
552662,11746,Stefen Romero,mlb_api
606466,13613,Ketel Marte,mlb_api
573650,sa503304,Julio Morban,mlb_api
501659,5486,Abraham Almonte,mlb_api
623182,13910,Patrick Kivlehan,mlb_api
641933,15711,Tyler O'Neill,mlb_api
570805,11173,Oscar Taveras,mlb_api
543939,12532,Kolten Wong,mlb_api
572039,13367,Stephen Piscotty,mlb_api
641739,15792,Rob Kaminsky,mlb_api
594835,15467,Marco Gonzales,mlb_api
621052,15015,Alex Reyes,mlb_api
607256,sa599239,James Ramsey,mlb_api
608348,13620,Carson Kelly,mlb_api
621550,13602,Patrick Wisdom,mlb_api
608641,13762,Tim Cooney,mlb_api
605508,12983,Charlie Tilson,mlb_api
545341,10243,Randal Grichuk,mlb_api
543838,sa526415,Jordan Swagerty,mlb_api
640458,16375,Óscar Mercado,mlb_api
601983,sa597168,Juan Herrera,mlb_api
592433,11378,Tyrell Jenkins,mlb_api
623967,sa659444,Zach Petrick,mlb_api
623336,sa658588,Lee Stoppelman,mlb_api
595349,sa546800,Mike O'Neill,mlb_api
518693,6832,Sam Freeman,mlb_api
543606,6397,Jake Odorizzi,mlb_api
573349,sa502536,Hak-Ju Lee,mlb_api
605260,13616,Taylor Guerrieri,mlb_api
592808,13414,Andrew Toles,mlb_api
544836,4001,Enny Romero,mlb_api
517008,6661,Alex Colomé,mlb_api
624419,16291,Nick Ciuffo,mlb_api
501992,12638,Nate Karns,mlb_api
592166,12138,Ryan Brett,mlb_api
605483,13543,Blake Snell,mlb_api
595281,11038,Kevin Kiermaier,mlb_api
592773,15947,Ryne Stanek,mlb_api
572128,13271,Richie Shaffer,mlb_api
542921,7949,Tim Beckham,mlb_api
543484,13130,Mikie Mahtook,mlb_api
571440,sa503692,Jeff Ames,mlb_api
624523,sa737614,Riley Unroe,mlb_api
620445,17821,José Mujica,mlb_api
543557,4869,Mike Montgomery,mlb_api
543204,sa526542,Grayson Garvin,mlb_api
595751,12180,Jorge Alfaro,mlb_api
596059,12282,Rougned Odor,mlb_api
574831,11376,Michael Choice,mlb_api
596143,13153,Luis Sardinas,mlb_api
608336,14128,Joey Gallo,mlb_api
608384,14330,Nick Williams,mlb_api
592346,14663,Chi Chi González,mlb_api
592426,11752,Luke Jackson,mlb_api
621446,14352,Lewis Brinson,mlb_api
608577,14553,Nomar Mazara,mlb_api
594742,13560,Alec Asher,mlb_api
620440,sa740444,Jairo Beras,mlb_api
607259,12730,Nick Martinez,mlb_api
650979,sa828293,Yeyson Yrizarri,mlb_api
641513,15958,Travis Demeritte,mlb_api
608597,14388,Ronald Guzmán,mlb_api
605309,14696,Keone Kela,mlb_api
593633,sa548111,Victor Payano,mlb_api
650954,sa828294,Jose Almonte,mlb_api
572406,sa503437,Sam Wolff,mlb_api
608337,15474,Lucas Giolito,mlb_api
595918,11467,A.J. Cole,mlb_api
571718,12858,Brian Goodwin,mlb_api
446345,2591,Michael Taylor,mlb_api
519301,11457,Sammy Solís,mlb_api
545357,12831,Matt Purke,mlb_api
605474,12119,Matt Skole,mlb_api
600474,14523,Pedro Severino,mlb_api
622446,17018,Jefry Rodriguez,mlb_api
595025,10622,Zach Walters,mlb_api
592828,sa548166,Drew Vettleson,mlb_api
572952,sa503669,Jake Johansen,mlb_api
608380,sa737690,Drew Ward,mlb_api
519306,5667,Steven Souza Jr.,mlb_api
516811,10299,Eury Pérez,mlb_api
608723,15047,Austin Voth,mlb_api
595014,12572,Blake Treinen,mlb_api
553878,12076,Felipe Vázquez,mlb_api
571862,9591,Jeff Kobernus,mlb_api
573113,13443,Tony Renda,mlb_api
657053,16929,Touki Toussaint,mlb_api
661255,17181,Yoan López,mlb_api
598284,13288,Peter O'Brien,mlb_api
646301,sa751022,Jeferson Mejia,mlb_api
657129,17910,Marcus Wilson,mlb_api
593647,12944,Sócrates Brito,mlb_api
645444,17040,Jose Herrera,mlb_api
591712,13490,Óscar Hernández,mlb_api
542609,3895,Enrique Burgos,mlb_api
656871,sa828793,Matt Railey,mlb_api
607455,14706,Anthony Banda,mlb_api
656596,sa828874,Brent Jones,mlb_api
594953,14897,Daniel Palka,mlb_api
605342,sa577888,Will Locante,mlb_api
620439,15519,Franklin Barreto,mlb_api
656305,16505,Matt Chapman,mlb_api
608665,15514,Kendall Graveman,mlb_api
543594,11341,Sean Nolin,mlb_api
622168,16313,Yairo Muñoz,mlb_api
592660,10839,Rangel Ravelo,mlb_api
605255,16218,Brett Graves,mlb_api
605254,16164,Daniel Gossett,mlb_api
451639,sa325096,Jesus Lopez,mlb_api
592192,11445,Mark Canha,mlb_api
595144,14936,Jaycob Brugman,mlb_api
656656,sa829044,Trace Loehr,mlb_api
592387,15447,Ryon Healy,mlb_api
641571,17466,Heath Fillmyer,mlb_api
504186,5595,Arnold Leon,mlb_api
656942,sa828883,Jordan Schwartz,mlb_api
645277,16556,Ozzie Albies,mlb_api
656352,sa828679,Braxton Davidson,mlb_api
656440,sa828701,Garrett Fulenchek,mlb_api
605480,13608,Mallex Smith,mlb_api
641149,14764,Wes Parsons,mlb_api
593993,13151,José Briceño,mlb_api
462089,6127,Juan Jaime,mlb_api
622682,15487,Victor Reyes,mlb_api
595465,12237,Dan Winkler,mlb_api
623909,sa659186,Luis Merejo,mlb_api
656977,17470,Chad Sobotka,mlb_api
641908,sa737877,Tanner Murphy,mlb_api
592869,12691,Tyler Wilson,mlb_api
595921,sa602534,Patrick Connaughton,mlb_api
573262,14854,Mike Yastrzemski,mlb_api
655997,sa830204,Jomar Reyes,mlb_api
592458,sa549073,Jon Keller,mlb_api
605276,16130,David Hess,mlb_api
641529,sa709292,Drew Dosch,mlb_api
656473,sa828794,Brian Gonzalez,mlb_api
571710,10430,Mychal Givens,mlb_api
641680,16930,Jonah Heim,mlb_api
605145,sa602386,Derrick Bleeker,mlb_api
641820,15149,Trey Mancini,mlb_api
592329,12143,Jason García,mlb_api
548337,12905,Logan Verrett,mlb_api
595255,sa550295,Mitch Horacek,mlb_api
615701,sa738330,Travis Seabrooke,mlb_api
656945,17586,Tanner Scott,mlb_api
607644,16269,John Means,mlb_api
657503,sa829637,Patrick Baker,mlb_api
660162,17232,Yoán Moncada,mlb_api
656308,17321,Michael Chavis,mlb_api
656629,17282,Michael Kopech,mlb_api
592231,sa548268,Sean Coyle,mlb_api
607752,16263,Sam Travis,mlb_api
642770,17292,Javy Guerra,mlb_api
592656,11481,Henry Ramos,mlb_api
543768,11982,Travis Shaw,mlb_api
641802,sa738434,Nick Longhi,mlb_api
656328,sa828802,Jake Cosart,mlb_api
641319,15197,Carlos Asuaje,mlb_api
659262,18593,Anderson Espinoza,mlb_api
602925,sa701535,Simon Mercedes,mlb_api
453214,8185,Steven Wright,mlb_api
643289,16530,Mauricio Dubón,mlb_api
646243,sa829086,Yoan Aybar,mlb_api
656941,16478,Kyle Schwarber,mlb_api
621249,14677,Duane Underwood Jr.,mlb_api
627500,15524,Jen-Ho Tseng,mlb_api
642109,sa738473,Jake Stinnett,mlb_api
624518,sa828814,Carson Sands,mlb_api
657006,17312,Justin Steele,mlb_api
657145,16565,Mark Zagunis,mlb_api
