Name,Predicted_WAR_6_Years,Top 100,Org,Org Rk
Jarlin Susana,-1.2227149,,WSN,14.0
Walter Pennington,-1.222868,,KCR,35.0
Marcelo Perez,-1.2254,,SEA,33.0
Brandan Bidois,-1.226141,,PIT,24.0
Jack Kochanowicz,-1.227666,,LAA,13.0
Samuel Valerio,-1.2278883,,MIL,41.0
Kade Morris,-1.228415,,NYM,28.0
Zac Leigh,-1.2287297,,CHC,28.0
RJ Petit,-1.2289431,,DET,28.0
Cole Phillips,-1.2330897,,SEA,25.0
Andrew Saalfrank,-1.2340798,,ARI,47.0
Michael Knorr,-1.234953,,HOU,16.0
Adam Mazur,-1.2356225,,SDP,7.0
Jackson  Humphries,-1.2366705,,CLE,22.0
Max Meyer,-1.2368608,60.0,MIA,1.0
Carlos Tavera,-1.2372181,,BAL,31.0
Adam Serwinowski,-1.2392881,,CIN,21.0
Maximo Martinez,-1.239796,,CHW,28.0
Brock Selvidge,-1.2400095,,NYY,21.0
Reidis Sena,-1.2411158,,BOS,41.0
Jordan Woods,-1.2417312,,KCR,10.000000000000002
Jose Romero,-1.2418323,,CHC,40.0
Francis Texido,-1.2423024,,LAA,11.0
Carter Baumler,-1.242934,,BAL,29.0
Cade Kuehler,-1.2446904,,ATL,22.0
Seth Shuman,-1.2466241,,WSN,18.0
Dahian  Santos,-1.2473719,,TOR,22.0
Will Dion,-1.247787,,CLE,21.0
Jesus Tillero,-1.2491409,,LAD,30.0
Travis Sykora,-1.2491593,,WSN,6.0
Jonathan Bowlan,-1.2492143,,KCR,39.0
Michael Kennedy,-1.2514285,,PIT,17.0
Bubba Chandler,-1.2517586,73.0,PIT,4.0
Wilmer Flores,-1.2520258,,DET,9.0
Keyner Benitez,-1.2554615,,MIA,16.0
Joel Díaz,-1.2558165,,NYM,37.0
Caden Scarborough,-1.2591158,,TEX,20.0
Michael Morales,-1.2605942,,SEA,16.0
Bryan Hudson,-1.261559,,MIL,41.0
Jackson Rutledge,-1.2640561,,WSN,21.0
Joseph Montalvo,-1.2644925,,TEX,19.0
