sample_bin,count,RMSE,MAE,avg_sample_size,metric
2100-2200,251,24.802396258217897,19.09322480079681,2149.9561752988047,wRC+
2200-2300,239,24.91676400037366,18.90666742677824,2248.1380753138073,wRC+
2300-2400,290,21.76841973298954,17.32357853448276,2346.9172413793103,wRC+
2400-2500,270,22.806018754523322,17.55909512592593,2449.0481481481484,wRC+
2500-2600,275,21.498367575663032,17.33615654909091,2550.3054545454547,wRC+
2600-2700,279,21.035441596227884,15.916128347670252,2650.2580645161293,wRC+
2700-2800,261,21.939953652424183,16.887139785440613,2751.103448275862,wRC+
2800-2900,250,23.253011191056,17.434192608,2849.46,wRC+
2900-3000,225,21.41476523199609,16.550143564444443,2950.16,wRC+
3000-3100,207,21.326858631482004,16.724719758454107,3049.903381642512,wRC+
3100-3200,201,21.37951480906873,16.642387223880597,3144.402985074627,wRC+
3200-3300,151,20.684717980491087,16.389838470198676,3246.4503311258277,wRC+
3300-3400,137,19.603769800390694,15.291306656934307,3350.934306569343,wRC+
3400-3500,77,20.91499213806447,15.794612883116882,3439.090909090909,wRC+
3500-3600,37,15.975154380818964,12.820393108108107,3534.2162162162163,wRC+
3600-3700,12,13.878623342359369,11.622042833333333,3639.6666666666665,wRC+
3700-3800,3,17.907976117716373,14.273723333333336,3719.3333333333335,wRC+
